word	lemma
windbreaker	windbreaker
cutthroat	cutthroat
burrito	burrito
smallmouth	smallmouth
volunteerism	volunteerism
shiite	shiite
spyware	spyware
vise	vise
saltwater	saltwater
hodgepodge	hodgepodge
liposuction	liposuction
antioxidant	antioxidant
telecommuting	telecommuting
guacamole	guacamole
ballplayer	ballplayer
flaxseed	flaxseed
spandex	spandex
hummer	hummer
newsmaker	newsmaker
backfield	backfield
arraignment	arraignment
multimillionaire	multimillionaire
meatloaf	meatloaf
backcourt	backcourt
anesthesiologist	anesthesiologist
jackass	jackass
layup	layup
phyllo	phyllo
overpass	overpass
wastebasket	wastebasket
letdown	letdown
infielder	infielder
pepperoni	pepperoni
laypeople	laypeople
sportswriter	sportswriter
ibuprofen	ibuprofen
sportscaster	sportscaster
quinoa	quinoa
crappie	crappie
preschooler	preschooler
seatpost	seatpost
misstep	misstep
hookup	hookup
coffeehouse	coffeehouse
panty	panty
ironclad	ironclad
sourdough	sourdough
granddaddy	granddaddy
gangsta	gangsta
telecast	telecast
cabinetry	cabinetry
holdout	holdout
lunchroom	lunchroom
liftoff	liftoff
acetaminophen	acetaminophen
sledding	sledding
cupcake	cupcake
appraiser	appraiser
critter	critter
pantyhose	pantyhose
frontrunner	frontrunner
petri	petri
stinger	stinger
lockdown	lockdown
parkway	parkway
skyrocket	skyrocket
pancetta	pancetta
tryout	tryout
niacin	niacin
armoire	armoire
curveball	curveball
wormhole	wormhole
smartphone	smartphone
taser	taser
collard	collard
palmetto	palmetto
rowboat	rowboat
pretzel	pretzel
valedictorian	valedictorian
shtick	shtick
focuser	focuser
marinara	marinara
jetliner	jetliner
decaf	decaf
pronghorn	pronghorn
ridership	ridership
goldenrod	goldenrod
bulgur	bulgur
midcentury	midcentury
phenom	phenom
barroom	barroom
workweek	workweek
flatware	flatware
neuroscientist	neuroscientist
weeknight	weeknight
councilwoman	councilwoman
menorah	menorah
homeownership	homeownership
goaltender	goaltender
doneness	doneness
bobcat	bobcat
rollback	rollback
postgame	postgame
pantsuit	pantsuit
lycopene	lycopene
eurozone	eurozone
wideout	wideout
viewership	viewership
spaceflight	spaceflight
happenstance	happenstance
outcropping	outcropping
stoplight	stoplight
deadbeat	deadbeat
backhoe	backhoe
calamari	calamari
ethicist	ethicist
luge	luge
student/teacher	student/teacher
rollout	rollout
boxcar	boxcar
ponderosa	ponderosa
reb	reb
leaguer	leaguer
antiaircraft	antiaircraft
backboard	backboard
manatee	manatee
ginkgo	ginkgo
cheater	cheater
emcee	emcee
woodstove	woodstove
cuban	cuban
tendinitis	tendinitis
newlywed	newlywed
waterboarding	waterboarding
grownup	grownup
rebounder	rebounder
baitfish	baitfish
demagoguery	demagoguery
riverfront	riverfront
amygdala	amygdala
homocysteine	homocysteine
bellwether	bellwether
seder	seder
noontime	noontime
headliner	headliner
warmup	warmup
lakeshore	lakeshore
birding	birding
masa	masa
beachhead	beachhead
redshirt	redshirt
portobello	portobello
singletrack	singletrack
hairstylist	hairstylist
rotator	rotator
redfish	redfish
scallion	scallion
lemongrass	lemongrass
wasabi	wasabi
echinacea	echinacea
nigga	nigga
lube	lube
homeroom	homeroom
worktable	worktable
seawall	seawall
muskie	muskie
berm	berm
racquetball	racquetball
voicemail	voicemail
URL	url
silicosis	silicosis
grinch	grinch
whitefish	whitefish
snicker	snicker
orzo	orzo
firecracker	firecracker
newsmagazine	newsmagazine
eggnog	eggnog
webcam	webcam
busboy	busboy
carburetor	carburetor
marist	marist
agave	agave
tepee	tepee
coverup	coverup
crabmeat	crabmeat
shiitake	shiitake
dollhouse	dollhouse
ragtag	ragtag
inbox	inbox
standup	standup
wiretapping	wiretapping
merlot	merlot
blogosphere	blogosphere
doubleheader	doubleheader
oceanfront	oceanfront
adobo	adobo
archeologist	archeologist
lockup	lockup
masonite	masonite
tailpipe	tailpipe
fistfight	fistfight
popsicle	popsicle
rotisserie	rotisserie
copilot	copilot
earmark	earmark
statin	statin
skeet	skeet
whir	whir
grounder	grounder
dinette	dinette
snowshoe	snowshoe
shakeup	shakeup
pullback	pullback
mascarpone	mascarpone
treehouse	treehouse
bologna	bologna
renter	renter
maven	maven
heartthrob	heartthrob
deejay	deejay
mormonism	mormonism
